"TimeGenerated","SourceName","Message","ProductName","EventIdentifier","User","Reason"
"19-08-2026 14:33:58","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft .NET Runtime - 10.0.11 (x64). Product Version: 80.44.56884. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft .NET Runtime - 10.0.11 (x64)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:58","MsiInstaller","Windows Installer reconfigured the product. Product Name: Dell SupportAssist OS Recovery Plugin for Dell Update. Product Version: 5.5.16.2. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.","Dell SupportAssist OS Recovery Plugin for Dell Update","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:58","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft .NET Runtime - 8.0.30 (x86). Product Version: 64.120.56788. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft .NET Runtime - 8.0.30 (x86)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:58","MsiInstaller","Windows Installer reconfigured the product. Product Name: Google Chrome. Product Version: 151.0.7922.138. Product Language: 1033. Manufacturer: Google LLC. Reconfiguration success or error status: 0.","Google Chrome","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:57","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft SQL Server 2019 T-SQL Language Service. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft SQL Server 2019 T-SQL Language Service","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:57","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247. Product Version: 14.51.36247. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:57","MsiInstaller","Windows Installer reconfigured the product. Product Name: Python 3.13.15 Add to Path (64-bit). Product Version: 3.13.15150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.","Python 3.13.15 Add to Path (64-bit)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:57","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft .NET Host FX Resolver - 10.0.11 (x64). Product Version: 80.44.56884. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft .NET Host FX Resolver - 10.0.11 (x64)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:57","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft Intune Management Extension. Product Version: 1.104.102.0. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft Intune Management Extension","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:57","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft .NET Host - 10.0.11 (x64). Product Version: 80.44.56884. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft .NET Host - 10.0.11 (x64)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:56","MsiInstaller","Windows Installer reconfigured the product. Product Name: Office 16 Click-to-Run Extensibility Component. Product Version: 16.0.20131.20112. Product Language: 0. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Office 16 Click-to-Run Extensibility Component","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:06:24","Microsoft-Windows-WindowsUpdateClient","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.457.239.0) - Current Channel (Broad)","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.457.239.0) - Current Channel (Broad)","19","NT AUTHORITY\SYSTEM",
"19-08-2026 13:30:43","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247. Product Version: 14.51.36247. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 13:30:43","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft Windows Desktop Runtime - 10.0.11 (x64). Product Version: 80.44.56884. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft Windows Desktop Runtime - 10.0.11 (x64)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 13:30:43","MsiInstaller","Windows Installer reconfigured the product. Product Name: Python 3.13.15 Standard Library (64-bit). Product Version: 3.13.15150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.","Python 3.13.15 Standard Library (64-bit)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 13:30:42","MsiInstaller","Windows Installer installed the product. Product Name: SQL Server 2019 Database Engine Services. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Installation success or error status: 0.","SQL Server 2019 Database Engine Services","1033","NT AUTHORITY\SYSTEM",
"19-08-2026 13:30:42","MsiInstaller","Windows Installer reconfigured the product. Product Name: Spektion Sensor. Product Version: 3.0.8. Product Language: 1033. Manufacturer: Spektion. Reconfiguration success or error status: 0.","Spektion Sensor","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 13:30:42","MsiInstaller","Windows Installer reconfigured the product. Product Name: FlexNet Inventory Agent. Product Version: 24.00.1511. Product Language: 1033. Manufacturer: Flexera Software LLC. Reconfiguration success or error status: 0.","FlexNet Inventory Agent","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 13:30:42","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 XEvent. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 XEvent","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 13:30:42","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft SQL Server 2019 Setup (English). Product Version: 15.0.4013.40. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft SQL Server 2019 Setup (English)","1035","NT AUTHORITY\SYSTEM",
