"DeviceName","DeviceClass","Manufacturer","DriverVersion","DriverDate","DriverProviderName","IsSigned","InfName"
"Cirrus Logic Global Mic Mute Service","SOFTWARECOMPONENT","Cirrus Logic, Inc.","1.0.16.51","20-02-2026 05:30:00","Cirrus Logic, Inc.","True","oem166.inf"
"Cirrus Logic Legacy Logging Service","SOFTWARECOMPONENT","Cirrus Logic, Inc.","15.23.33.748","11-01-2025 05:30:00","Cirrus Logic, Inc.","True","oem170.inf"
"CLABP service","SOFTWARECOMPONENT","Cirrus Logic, Inc.","2026.4.0.0","02-11-2026 05:30:00","Cirrus Logic, Inc.","True","oem443.inf"
"CLABP service","SOFTWARECOMPONENT","Cirrus Logic, Inc.","2026.4.0.0","02-11-2026 05:30:00","Cirrus Logic, Inc.","True","oem443.inf"
"Dell Display and Peripheral Manager Software","SOFTWARECOMPONENT","Dell Technologies Inc.","1.0.0.8","03-03-2025 05:30:00","Dell Technologies Inc.","True","oem425.inf"
"Intel(R) Dynamic Tuning Technology","SOFTWARECOMPONENT","Intel","9.1.10010.2297","05-01-2026 05:30:00","Intel","True","oem548.inf"
"Intel(R) Graphics Software","SOFTWARECOMPONENT","Intel Corporation","32.0.101.8724","16-04-2026 05:30:00","Intel Corporation","True","oem500.inf"
"Intel(R) IGCL IPF Providers","SOFTWARECOMPONENT","Intel","16.1.0.257","08-05-2025 05:30:00","Intel","True","oem505.inf"
"Intel(R) Management Engine WMI Provider","SOFTWARECOMPONENT","Intel","2546.9.2.0","13-11-2025 05:30:00","Intel","True","oem567.inf"
"Intel(R) Modern Standby IPF Extension Provider","SOFTWARECOMPONENT","Intel","3.4.1007.0","03-12-2026 05:30:00","Intel","True","oem553.inf"
"Intel(R) Optane(TM) Memory and Storage Management Component","SOFTWARECOMPONENT","Intel Corporation","20.2.13.1038","04-02-2026 05:30:00","Intel Corporation","True","oem514.inf"
"Intel(R) PCD Telemetry IPF Extension Provider","SOFTWARECOMPONENT","Intel","3.4.1007.0","03-12-2026 05:30:00","Intel","True","oem554.inf"
"Intel(R) PerfMon IPF Extension Provider","SOFTWARECOMPONENT","Intel","3.4.1007.0","03-12-2026 05:30:00","Intel","True","oem555.inf"
"Intel(R) PMT IPF Extension Provider","SOFTWARECOMPONENT","Intel","3.4.1007.0","03-12-2026 05:30:00","Intel","True","oem556.inf"
"Intel(R) PPM Provisioning Package","SOFTWARECOMPONENT","Intel","1.0.0.158","15-07-2025 05:30:00","Intel","True","oem390.inf"
"Intel(R) SoC Thermal IPF Extension Provider","SOFTWARECOMPONENT","Intel","3.4.1007.0","03-12-2026 05:30:00","Intel","True","oem557.inf"
"Intel(R) System Config IPF Extension Provider","SOFTWARECOMPONENT","Intel","3.4.1007.0","03-12-2026 05:30:00","Intel","True","oem558.inf"
"Intel(R) Wireless Manageability","SOFTWARECOMPONENT","Intel","267.102.85.0","02-11-2026 05:30:00","Intel","True","oem566.inf"
"intelliGo Audio Service Component","SOFTWARECOMPONENT","intelliGo","100.1.4.2740","04-09-2026 05:30:00","intelliGo","True","oem525.inf"
"intelliGo Audio Service Component","SOFTWARECOMPONENT","intelliGo","100.1.4.2740","04-09-2026 05:30:00","intelliGo","True","oem525.inf"
"Windows Camera Effects","SOFTWARECOMPONENT","Microsoft Corporation","1.0.50.0","22-06-2026 05:30:00","Microsoft Corporation","True","oem544.inf"
"Windows Camera Effects","SOFTWARECOMPONENT","Microsoft Corporation","1.0.50.0","22-06-2026 05:30:00","Microsoft Corporation","True","oem544.inf"
"Windows Studio Effects Driver","SOFTWARECOMPONENT","Microsoft Corporation","1.0.50.0","22-06-2026 05:30:00","Microsoft Corporation","True","oem545.inf"
"Windows Studio Effects Driver","SOFTWARECOMPONENT","Microsoft Corporation","1.0.50.0","22-06-2026 05:30:00","Microsoft Corporation","True","oem545.inf"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
"Generic software device","SOFTWAREDEVICE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","c_swdevice.inf"
