"FriendlyName","Class","Manufacturer","Status","Problem","InstanceId"
"Bluetooth Device (RFCOMM Protocol TDI)","Bluetooth","Microsoft","Unknown","CM_PROB_PHANTOM","BTH\MS_RFCOMM\6&4CC9C94&0&0"
"Intel(R) Wireless Bluetooth(R)","Bluetooth","Intel Corporation","OK","CM_PROB_NONE","USB\VID_8087&PID_0037\5&2DC84FBA&0&10"
"Microsoft Bluetooth Enumerator","Bluetooth","Microsoft","Unknown","CM_PROB_PHANTOM","BTH\MS_BTHBRB\6&4CC9C94&0&1"
"Microsoft Bluetooth LE Enumerator","Bluetooth","Microsoft","Unknown","CM_PROB_PHANTOM","BTH\MS_BTHLE\6&4CC9C94&0&3"
"Camera AI Effect Opt-out","Camera","Dell Technologies","OK","CM_PROB_NONE","USB\VID_0BDA&PID_5599&MI_00\6&236E8108&0&0000"
"Intel(R) AI Boost","ComputeAccelerator","Intel Corporation","OK","CM_PROB_NONE","PCI\VEN_8086&DEV_7D1D&SUBSYS_0CE81028&REV_05\3&11583659&0&58"
"ACPI x64-based PC","Computer","(Standard computers)","OK","CM_PROB_NONE","ROOT\ACPI_HAL\0000"
"Dell Inc. Dell Pro 14 Plus PB14250","Computer","Microsoft","OK","CM_PROB_NONE","SWD\COMPUTER\MFG_DELL_INC.&FAM_DELL_PRO_LAPTOPS&PROD_DELL_PRO_14_PLUS_PB14250&SKU_0CE8"
"DellInstrumentation Device","DellInstrumentation","Dell Technologies","OK","CM_PROB_NONE","ROOT\DELLINSTRUMENTATION\0000"
"NVMe PM9C1b Samsung 256GB","DiskDrive","(Standard disk drives)","OK","CM_PROB_NONE","SCSI\DISK&VEN_NVME&PROD_PM9C1B_SAMSUNG_2\4&2F520E81&0&020000"
"Intel(R) Graphics","Display","Intel Corporation","OK","CM_PROB_NONE","PCI\VEN_8086&DEV_7D41&SUBSYS_0CE81028&REV_00\3&11583659&0&10"
"NVMe Firmware 58.33.01.09","Firmware","Dell, Inc.","OK","CM_PROB_NONE","UEFI\RES_{AF2F3BE5-3837-470B-B4D6-6599941B1A50}\0"
"System Firmware 2.11.1","Firmware","Dell, Inc.","OK","CM_PROB_NONE","UEFI\RES_{6F7E3AED-FD32-42FB-A3AD-74189864A599}\0"
"Converted Portable Device Control device","HIDClass","Microsoft","OK","CM_PROB_NONE","BUTTONCONVERTER\CONVERTEDDEVICE\4&17172862&0&0"
"CS42L43 HID","HIDClass","Microsoft","OK","CM_PROB_NONE","SOUNDWIRE\SDCA_06&MAN_01FA&FUNC_4243&TYPE_0A&VER_01&ADR_04&LID_00&UID_00&SUBSYS_0CE81028\7&2796BA65&0&0000000000000004"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Dell Inc.","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_02&COL02\7&1A3E2A54&0&0001"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Dell Inc.","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_02&COL02\8&3AFFADC2&0&0001"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Dell Inc.","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL02\7&126351D3&0&0001"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Dell Inc.","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL02\7&36981BE3&0&0001"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Dell Inc.","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL02\8&24C30B19&0&0001"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Dell Inc.","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL02\9&27E43A1E&0&0001"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Dell Inc.","OK","CM_PROB_NONE","HID\VID_413C&PID_4503&MI_02&COL02\7&29E6D75C&0&0001"
"Dell WH3024 Headset HID-compliant vendor-defined device","HIDClass","Dell Inc.","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL01\7&2893BDB8&0&0000"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL02\9&1020ADD9&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","OK","CM_PROB_NONE","HID\VID_047F&PID_C058&MI_03&COL01\7&24D94F6A&0&0000"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\8&17CA6AF0&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\8&62FF1EE&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","OK","CM_PROB_NONE","HID\HID_DEVICE_SYSTEM_VHF&COL01\9&25542E13&0&0000"
"HID-compliant consumer control device","HIDClass","Microsoft","OK","CM_PROB_NONE","HID\VID_FFFF&PID_BACE&REV_0002&MI_00&COL03\3&258C3FBC&0&0002"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_047F&PID_C057&MI_03&COL01\7&7092578&0&0000"
"HID-compliant consumer control device","HIDClass","Microsoft","OK","CM_PROB_NONE","HID\VID_413C&PID_4503&MI_01&COL02\7&3B0C56D4&0&0001"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_0A8F&MI_03\7&979CB7E&0&0000"
"HID-compliant consumer control device","HIDClass","Microsoft","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL02\7&12C0DE21&0&0001"
