"FriendlyName","Class","Status","Problem","InstanceId"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534\5&2DC84FBA&0&6"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534\5&2DC84FBA&0&7"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL05\7&E77A003&0&0004"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_248D&PID_8003\6&19B1558E&0&0000"
"Dell WH3024 Headset","MEDIA","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_A524&MI_00\6&F3C4E&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_00\7&B9331CE&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_00\8&2985FA89&0&0000"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL03\7&27A9E0F&0&0002"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\7&E77A003&0&0003"
"Dell DA310","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_C010&MI_01\7&3B213AAE&0&0001"
"Cirrus Logic Audio Background Process Service Extension","SoftwareComponent","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\{B40146ED-D625-48CD-8DCB-36441AB5A116}#CLABPSRV&9&200D8058&0"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_01&COL02\7&27A9E0F&0&0001"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL03\7&E77A003&0&0002"
