"Name","Id","Path","StartTime","CPU_s","WorkingSetMB"
"MsMpEng","23372",,"18-08-2026 15:05:42","5180.890625","317.6"
"MsSense","4940",,"18-08-2026 14:30:54","2469.34375","174.4"
"ms-teams","12748","C:\Program Files\WindowsApps\MSTeams_26198.304.4946.9672_x64__8wekyb3d8bbwe\ms-teams.exe","18-08-2026 14:33:33","3352.671875","19.2"
"ms-teams","23216","C:\Program Files\WindowsApps\MSTeams_26198.304.4946.9672_x64__8wekyb3d8bbwe\ms-teams.exe","18-08-2026 14:33:30","86.078125","50.4"
"ndinit","4848","C:\Program Files (x86)\ManageSoft\Schedule Agent\ndinit.exe","18-08-2026 14:30:54","0.859375","3.6"
"ndtask","10156","C:\Program Files (x86)\ManageSoft\Schedule Agent\ndtask.exe","18-08-2026 14:31:12","2.046875","4.3"
"ndtask","23856","C:\Program Files (x86)\ManageSoft\Schedule Agent\ndtask.exe","19-08-2026 00:26:05","0.765625","4.4"
"NgcIso","8320",,"18-08-2026 14:30:57","5.734375","1.3"
"NisSrv","18860",,"18-08-2026 15:06:12","439.125","25.4"
"Notepad","19312","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2606.15.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe","18-08-2026 14:48:49","45.40625","20.3"
"OfficeClickToRun","4780","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe","18-08-2026 14:30:54","15.890625","14.6"
"OffloadItemService","2992","C:\Windows\System32\DriverStore\FileRepository\ishheci.inf_amd64_65dcfb86d1d36ecc\OffloadItemService.exe","18-08-2026 14:30:53","0.234375","2.5"
"OneDrive","20356","C:\Program Files\Microsoft OneDrive\OneDrive.exe","18-08-2026 14:32:26","536.03125","49"
"OneDrive.Sync.Service","13836","C:\Program Files\Microsoft OneDrive\26.139.0720.0007\OneDrive.Sync.Service.exe","18-08-2026 14:32:27","342.125","29.2"
"OUTLOOK","8060","C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE","18-08-2026 14:51:17","349.84375","488.6"
"POWERPNT","27164","C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE","19-08-2026 14:53:57","91.09375","499.9"
"powershell","14120","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","18-08-2026 14:31:21","21.734375","14.9"
"powershell","28452","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","19-08-2026 13:05:29","946.609375","100.1"
"PresentMonService","9816","C:\Program Files\WindowsApps\AppUp.IntelArcSoftware_26.26.2459.0_x64__8j3eq9eme6ctt\VFS\ProgramFilesX64\Intel\Intel Graphics Software\PresentMonService.exe","18-08-2026 14:30:58","21.890625","2.1"
"PrintScheduler.Service","3340","C:\Program Files\Seagull\BarTender 11.5\PrintScheduler.Service.exe","18-08-2026 14:33:32","695.84375","22.8"
"Registry","256",,"18-08-2026 14:30:40","4.125","15.1"
"RstMwService","4892","C:\Windows\System32\DriverStore\FileRepository\iastorvd.inf_amd64_dca58e6fa5e6b1d9\RstMwService.exe","18-08-2026 14:30:54","0.140625","1.9"
"RuntimeBroker","944","C:\Windows\System32\RuntimeBroker.exe","19-08-2026 14:09:05","0.046875","1.4"
"RuntimeBroker","1640","C:\Windows\System32\RuntimeBroker.exe","18-08-2026 14:31:26","12.78125","16.5"
"RuntimeBroker","3488","C:\Windows\System32\RuntimeBroker.exe","18-08-2026 14:33:31","0.59375","2.6"
"RuntimeBroker","6332","C:\Windows\System32\RuntimeBroker.exe","18-08-2026 18:01:05","1.921875","8.1"
"RuntimeBroker","7520","C:\Windows\System32\RuntimeBroker.exe","18-08-2026 14:51:32","2.4375","4.8"
"RuntimeBroker","7576","C:\Windows\System32\RuntimeBroker.exe","19-08-2026 15:01:38","0.078125","14.1"
"RuntimeBroker","18316","C:\Windows\System32\RuntimeBroker.exe","18-08-2026 14:31:36","0.515625","1.9"
"RuntimeBroker","21004","C:\Windows\System32\RuntimeBroker.exe","18-08-2026 14:56:47","8.171875","8.6"
"RuntimeBroker","21928","C:\Windows\System32\RuntimeBroker.exe","18-08-2026 14:32:52","0.984375","3.2"
"RuntimeBroker","22612","C:\Windows\System32\RuntimeBroker.exe","18-08-2026 14:33:02","0.703125","2.7"
"RuntimeBroker","30796","C:\Windows\System32\RuntimeBroker.exe","19-08-2026 11:34:54","0.8125","3.3"
"Seagull.Services.Integration.WebService","24152","C:\Program Files\Seagull\BarTender 11.5\net8.0\Seagull.Services.Integration.WebService.exe","18-08-2026 14:33:32","375.703125","54.1"
"SearchHost","15208","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","18-08-2026 14:31:25","17.53125","14"
"SearchIndexer","11952","C:\Windows\system32\SearchIndexer.exe","18-08-2026 14:31:10","4495.53125","30.2"
"Secure System","212",,"18-08-2026 14:30:40","0","65.2"
"SecurityHealthService","18884",,"18-08-2026 14:31:59","8.71875","6.7"
"SecurityHealthSystray","19304","C:\Windows\System32\SecurityHealthSystray.exe","18-08-2026 14:31:59","0.25","2.1"
"SenseCE","11324","C:\Program Files\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe","19-08-2026 10:01:40","0.421875","0.9"
"SenseCE","26672","C:\Program Files\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe","19-08-2026 10:01:39","185.984375","6.3"
"SenseCE","27556","C:\Program Files\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe","19-08-2026 10:01:42","0.1875","0.9"
"SenseDlpProcessor","11772","C:\Program Files\Windows Defender Advanced Threat Protection\SenseDlpProcessor.exe","18-08-2026 14:31:09","4.734375","3.6"
"SenseNdr","16044","C:\Program Files\Windows Defender Advanced Threat Protection\SenseNdr.exe","19-08-2026 10:35:43","155.609375","47.9"
"SenseTracer","10856","C:\Program Files\Windows Defender Advanced Threat Protection\SenseTracer.exe","18-08-2026 14:31:02","26.859375","53.9"
"SenseTVM","11808","C:\Program Files\Windows Defender Advanced Threat Protection\SenseTVM.exe","18-08-2026 14:31:10","72.109375","5.2"
"services","1372",,"18-08-2026 14:30:53","238.296875","10.7"
"ServiceShell","15940","C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe","18-08-2026 14:33:33","13.109375","18.9"
"ShellExperienceHost","12092","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","18-08-2026 14:51:32","8.3125","4.5"
"ShellHost","16328","C:\Windows\System32\ShellHost.exe","19-08-2026 13:24:30","0.171875","6.9"
