"DeviceName","Manufacturer","DriverVersion","DriverDate","DriverProviderName","InfName","IsSigned"
"SoundWire Audio","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem66.inf","True"
"SoundWire Audio","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem66.inf","True"
"XuCsMe Microphone(Ext)","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","oem147.inf","True"
"Audio Endpoint","Microsoft","10.0.26100.1","31-03-2024 05:30:00","Microsoft","audioendpoint.inf","True"
"intelliGo Audio Service Component","intelliGo","100.1.4.2740","04-09-2026 05:30:00","intelliGo","oem525.inf","True"
"intelliGo Audio Processing Object","intelliGo","100.1.4.2740","04-09-2026 05:30:00","intelliGo","oem457.inf","True"
"SoundWire Audio","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem66.inf","True"
"SoundWire Audio","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem66.inf","True"
"XuCsMe Speaker(Ext)","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","oem147.inf","True"
"Audio Endpoint","Microsoft","10.0.26100.1","31-03-2024 05:30:00","Microsoft","audioendpoint.inf","True"
"Cirrus Logic Enhance APO","Cirrus Logic, Inc.","1.13.6.313","17-12-2024 05:30:00","Cirrus Logic, Inc.","oem174.inf","True"
"CLABP service","Cirrus Logic, Inc.","2026.4.0.0","02-11-2026 05:30:00","Cirrus Logic, Inc.","oem443.inf","True"
"SoundWire Audio","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem66.inf","True"
"SoundWire Audio","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem66.inf","True"
"SoundWire Audio Multifunction Device","SoundWire Audio Multifunction Device","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem58.inf","True"
"SoundWire Audio","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem80.inf","True"
"Intel® Smart Sound Technology MIPI SoundWire® Controller","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","oem41.inf","True"
"Intel® Smart Sound Technology Detection Verification","Intel(R) Corporation","1.0.4138.0","02-02-2026 05:30:00","Intel(R) Corporation","oem37.inf","True"
"Intel® Smart Sound Technology OED","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","oem10.inf","True"
"Intel® Smart Sound Technology BUS","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","oem2.inf","True"
"Standard PS/2 Keyboard","(Standard keyboards)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","keyboard.inf","True"
"Microsoft ACPI-Compliant Embedded Controller","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"Motherboard resources","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"System timer","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"System CMOS/real time clock","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"Motherboard resources","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"Programmable interrupt controller","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"High precision event timer","(Standard system devices)","10.0.26100.1150","21-06-2006 05:30:00","Microsoft","machine.inf","True"
"Intel (R) LPC Controller/eSPI Controller - 7703","INTEL","10.1.57.6","18-07-1968 05:30:00","INTEL","oem188.inf","True"
"Intel(R) Serial IO UART Host Controller - 7725","Intel Corporation","30.100.2527.40","07-03-2025 05:30:00","Intel Corporation","oem72.inf","True"
